Year,Paper number,QN,Type,Type 2,score,difficulty
2021,9MA0,Q6,coordinate geometry&vector,,5,Medium
2021,9MA0,Q7,coordinate geometry&vector,,9,High
2021,9MA0,Q8,Exponents and Logarithms,,9,High
2021,9MA0,Q9,Exponents and Logarithms,,11,High
2021,9MA0,Q10,Trigonometry,,8,High
2021,9MA0,Q11,Integration,,8,Medium
2021,9MA0,Q12,Polynomials,,9,High
2021,9MA0,Q13,coordinate geometry&vector,,3,High
2021,9MA0,Q14,Differentiation,,4,High
2021,9MA0,Q15,"Proof / Reasoning / Written Explanations (Justifications, Inequality Counterexamples)",,6,High
2022,8MA0,Q1,Integration,,4,Medium
2022,8MA0,Q2,Polynomials,,7,Easy
2022,8MA0,Q3,coordinate geometry&vector,,6,Medium
2022,8MA0,Q4,coordinate geometry&vector,,6,Medium
2022,8MA0,Q5,Exponents and Logarithms,,10,Medium
2022,8MA0,Q6,Polynomials,,6,Easy
2022,8MA0,Q7,Polynomials,,7,Medium
2022,8MA0,Q8,Exponents and Logarithms,,6,Medium
2022,8MA0,Q9,Exponents and Logarithms,,6,High
2022,8MA0,Q10,Differentiation,,10,High
2022,8MA0,Q11,coordinate geometry&vector,,8,High
2022,8MA0,Q12,Differentiation,,12,High
2022,8MA0,Q13,Trigonometry,,8,High
2022,8MA0,Q14,inequality,,4,High
2022,9MA0,Q1,Polynomials,,4,Easy
2022,9MA0,Q2,Polynomials,,3,Easy
2022,9MA0,Q3,coordinate geometry&vector,,5,Medium
2022,9MA0,Q4,Integration,,3,Medium
2022,9MA0,Q5,Exponents and Logarithms,,6,Medium
2022,9MA0,Q6,Polynomials,,6,Medium
2022,9MA0,Q7,inequality,,5,High
2022,9MA0,Q8,Exponents and Logarithms,,8,High
2022,9MA0,Q9,coordinate geometry&vector,,6,Medium
2022,9MA0,Q10,Exponents and Logarithms,,8,High
2022,9MA0,Q11,coordinate geometry&vector,,7,Medium
2022,9MA0,Q12,Integration,,5,High
2022,9MA0,Q13,Polynomials,,7,Medium
2022,9MA0,Q14,Trigonometry,,8,High
2022,9MA0,Q15,Differentiation,,10,High
2022,9MA0,Q16,Integration,,9,High
2023,8MA0,Q1,Differentiation,,6,Easy
2023,8MA0,Q2,Polynomials,,4,Medium
2023,8MA0,Q3,coordinate geometry&vector,,4,Medium
2023,8MA0,Q4,Exponents and Logarithms,,5,Medium
2023,8MA0,Q5,Integration,,5,Medium
2023,8MA0,Q6,coordinate geometry&vector,,5,High
2023,8MA0,Q7,coordinate geometry&vector,Differentiation,8,Medium
2023,8MA0,Q8,Polynomials,,5,High
2023,8MA0,Q9,Exponents and Logarithms,,5,High
2023,8MA0,Q10,coordinate geometry&vector,,8,Medium
2023,8MA0,Q11,Exponents and Logarithms,,6,Medium
2023,8MA0,Q12,Exponents and Logarithms,,9,Medium
2023,8MA0,Q13,coordinate geometry&vector,,7,Medium
2023,8MA0,Q14,Polynomials,,5,Easy
2023,8MA0,Q15,Polynomials,,7,High
2023,8MA0,Q16,Differentiation,,6,Medium
2023,8MA0,Q17,inequality,,5,Medium
2023,9MA0,Q1,Integration,,4,Medium
2023,9MA0,Q2,Polynomials,,6,Easy
2023,9MA0,Q3,coordinate geometry&vector,,3,Easy
2023,9MA0,Q4,Trigonometry,,5,Medium
2023,9MA0,Q5,Integration,,6,Easy
2023,9MA0,Q6,Exponents and Logarithms,,6,Medium
2023,9MA0,Q7,Polynomials,,8,Medium
2023,9MA0,Q8,coordinate geometry&vector,,10,Medium
2023,9MA0,Q9,Polynomials,,7,Medium
2023,9MA0,Q10,coordinate geometry&vector,,9,High
2023,9MA0,Q11,Exponents and Logarithms,,7,High
2023,9MA0,Q12,Differentiation,,5,Medium
2023,9MA0,Q13,Trigonometry,,7,High
2023,9MA0,Q14,"Proof / Reasoning / Written Explanations (Justifications, Inequality Counterexamples)",,4,Medium
2023,9MA0,Q15,Exponents and Logarithms,,13,High
